Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,Cluster,PCA1,PCA2
58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,63,2822,0,0,1,0,0,0,0,1,0,0,1529,1441,0,3,3.8002911689466146,-0.11142489216214857
46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,66,2272,0,0,1,0,0,0,0,1,0,0,21,15,0,1,-2.3757922508780167,-0.37274751561748265
71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,55,2471,0,0,0,1,0,0,0,1,0,0,734,692,0,0,1.946427945239885,-0.2542277217998504
26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,36,2298,0,0,0,1,0,0,0,1,0,0,48,43,0,1,-2.4862202951698,-1.0299808965342179
58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,39,2320,0,1,0,0,0,0,0,0,0,1,407,392,0,2,-0.17921210213775726,0.24491559659516754
62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,53,2452,0,0,0,1,0,0,0,0,1,0,702,688,0,2,0.9558167923178617,1.1323384288840976
55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,49,2752,1,0,0,0,0,0,0,1,0,0,563,536,0,2,0.8422373330313058,1.2971088951010543
33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,35,2576,0,1,0,0,0,0,0,0,0,1,146,123,0,1,-2.2414545309009952,-0.4057134559816908
30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,2547,0,0,0,1,0,0,0,0,0,1,44,42,0,1,-2.8917851707336664,-0.9270801037622167
5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,70,2267,0,0,0,1,0,0,0,0,0,1,36,23,1,1,-4.904530390198863,0.8146794502675287
7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,44,2752,0,1,0,0,0,0,1,0,0,0,45,29,0,1,-2.479778875447311,-1.180412462226794
63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,61,2385,1,0,0,0,0,0,0,1,0,0,1072,1042,0,3,3.2487366728723717,-2.3250988879289123
59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,68,2385,1,0,0,0,0,0,0,0,1,0,296,282,0,2,-1.2684602779571503,1.138581885996472
17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,33,2786,0,1,0,0,0,0,0,1,0,0,41,36,0,1,-2.4832338519563066,-1.325350051000965
82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,74,2741,0,0,1,0,0,0,0,0,0,1,1270,1225,2,0,3.1878131690518092,0.10828013262060923
41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,40,2711,0,1,0,0,0,0,0,1,0,0,92,88,0,1,-2.508484712392863,0.5863054845673846
37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,74,2826,0,0,0,1,0,0,0,1,0,0,289,261,0,1,-0.45229104909803275,-0.7003828344077622
76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,71,2617,0,1,0,0,0,0,0,0,1,0,1606,1430,1,0,3.4749321431901796,2.220502218410728
